ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,City,Age,Purchased Bike,Tax
25502,M,F,"$40,000.00 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,"New York City, New York",43,Yes,2728
15580,M,M,"$60,000.00 ",2,Bachelors,Professional,Yes,1,2-5 Miles,"Los Angeles, California",38,Yes,1253
24185,S,F,"$10,000.00 ",1,High School,Manual,No,1,1-2 Miles,"New York City, New York",45,No,3180
19291,S,F,"$10,000.00 ",2,High School,Manual,Yes,0,0-1 Miles,"New York City, New York",35,No,4643
16713,M,M,"$40,000.00 ",2,Bachelors,Management,Yes,1,0-1 Miles,"Los Angeles, California",52,Yes,3777
16185,S,M,"$60,000.00 ",4,Bachelors,Professional,Yes,3,10+ Miles,"Los Angeles, California",41,No,4716
14927,M,F,"$30,000.00 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",37,Yes,2096
29337,S,M,"$30,000.00 ",2,Partial College,Clerical,Yes,2,5-10 Miles,"Los Angeles, California",68,No,2439
29355,M,F,"$40,000.00 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",37,Yes,1431
25303,S,M,"$30,000.00 ",0,High School,Manual,Yes,1,2-5 Miles,"New York City, New York",33,Yes,1574
14813,S,F,"$20,000.00 ",4,High School,Manual,Yes,1,0-1 Miles,"New York City, New York",43,Yes,2892
16438,M,F,"$10,000.00 ",0,Partial High School,Manual,No,2,0-1 Miles,"New York City, New York",30,No,1856
14238,M,M,"$120,000.00 ",0,Partial High School,Professional,Yes,4,10+ Miles,"Los Angeles, California",36,Yes,1904
16200,S,F,"$10,000.00 ",0,Partial High School,Manual,No,2,0-1 Miles,"New York City, New York",35,No,3493
24857,M,F,"$130,000.00 ",3,High School,Professional,Yes,4,0-1 Miles,"New York City, New York",52,No,2824
26956,S,F,"$20,000.00 ",0,Partial College,Manual,No,1,2-5 Miles,"New York City, New York",36,Yes,2983
14517,M,F,"$20,000.00 ",3,High School,Skilled Manual,No,2,1-2 Miles,"Los Angeles, California",62,No,3498
12678,S,F,"$130,000.00 ",4,High School,Management,Yes,4,0-1 Miles,"Los Angeles, California",31,No,3712
16188,S,F,"$20,000.00 ",0,Partial High School,Manual,No,2,1-2 Miles,"New York City, New York",26,No,1153
27969,M,M,"$80,000.00 ",0,Bachelors,Professional,Yes,2,10+ Miles,"Los Angeles, California",29,Yes,1498
15752,M,M,"$80,000.00 ",2,High School,Skilled Manual,No,2,1-2 Miles,"Los Angeles, California",50,Yes,3507
27745,S,M,"$40,000.00 ",2,Bachelors,Management,Yes,2,5-10 Miles,"Los Angeles, California",63,Yes,4673
20828,M,F,"$30,000.00 ",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",45,Yes,3145
19461,S,F,"$10,000.00 ",4,Partial High School,Manual,Yes,2,0-1 Miles,"New York City, New York",40,No,1562
26941,M,M,"$30,000.00 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",47,Yes,3124
28412,S,M,"$20,000.00 ",0,High School,Manual,No,1,2-5 Miles,"New York City, New York",29,No,1348
24485,S,M,"$40,000.00 ",2,Bachelors,Management,No,1,5-10 Miles,"Los Angeles, California",52,Yes,3255
16514,S,M,"$10,000.00 ",0,Partial College,Manual,Yes,1,1-2 Miles,"Los Angeles, California",26,Yes,2731
17191,S,M,"$130,000.00 ",3,Partial College,Professional,No,3,0-1 Miles,"New York City, New York",51,Yes,3762
19608,M,M,"$80,000.00 ",5,Bachelors,Professional,Yes,4,1-2 Miles,"Los Angeles, California",40,No,4817
24119,S,M,"$30,000.00 ",0,Partial College,Clerical,No,1,2-5 Miles,"New York City, New York",29,No,1427
25458,M,M,"$20,000.00 ",1,High School,Manual,No,1,1-2 Miles,"New York City, New York",40,Yes,2313
26886,S,F,"$30,000.00 ",0,Partial College,Clerical,No,1,0-1 Miles,"New York City, New York",29,Yes,1924
28436,S,M,"$30,000.00 ",0,Partial College,Clerical,No,1,0-1 Miles,"New York City, New York",30,Yes,4186
19562,S,F,"$60,000.00 ",2,Bachelors,Professional,Yes,1,2-5 Miles,"Los Angeles, California",37,Yes,1351
15608,S,F,"$30,000.00 ",0,Partial College,Clerical,No,1,2-5 Miles,"New York City, New York",33,No,3044
16487,S,F,"$30,000.00 ",3,High School,Skilled Manual,Yes,2,5-10 Miles,"Los Angeles, California",55,No,3753
17197,S,F,"$90,000.00 ",5,Partial College,Professional,Yes,2,10+ Miles,"New York City, New York",62,No,3461
12507,M,M,"$30,000.00 ",1,Partial College,Clerical,Yes,1,0-1 Miles,"New York City, New York",43,No,3708
23940,M,M,"$40,000.00 ",1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,"New York City, New York",44,Yes,2083
19441,M,M,"$40,000.00 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",25,Yes,3646
26852,M,F,"$20,000.00 ",3,High School,Manual,Yes,2,0-1 Miles,"New York City, New York",43,No,1777
12274,S,M,"$10,000.00 ",2,High School,Manual,Yes,0,0-1 Miles,"New York City, New York",35,No,4681
20236,S,M,"$60,000.00 ",3,Bachelors,Professional,No,2,0-1 Miles,"Los Angeles, California",43,Yes,4273
24149,M,M,"$10,000.00 ",2,Partial College,Manual,Yes,0,1-2 Miles,"New York City, New York",49,No,1455
26139,S,M,"$60,000.00 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,"Los Angeles, California",45,No,1940
18491,S,F,"$70,000.00 ",2,High School,Professional,Yes,2,5-10 Miles,"Los Angeles, California",49,Yes,3547
22707,S,F,"$30,000.00 ",0,Partial College,Clerical,No,1,2-5 Miles,"New York City, New York",30,No,3692
20430,M,M,"$70,000.00 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,"Los Angeles, California",52,Yes,3516
27494,S,F,"$40,000.00 ",2,Partial College,Skilled Manual,No,2,1-2 Miles,"Los Angeles, California",53,Yes,3429
26829,M,F,"$40,000.00 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",38,Yes,2916
28395,S,M,"$40,000.00 ",0,Bachelors,Professional,No,0,0-1 Miles,"New York City, New York",39,Yes,3828
21006,S,F,"$30,000.00 ",1,Partial College,Manual,No,0,0-1 Miles,"New York City, New York",46,Yes,2786
14682,S,F,"$70,000.00 ",0,Bachelors,Professional,No,1,5-10 Miles,"Los Angeles, California",38,No,1505
17650,S,F,"$40,000.00 ",2,Partial College,Clerical,Yes,2,1-2 Miles,"New York City, New York",35,No,4043
29191,S,F,"$130,000.00 ",1,Graduate Degree,Management,No,1,0-1 Miles,"Los Angeles, California",36,Yes,1430
15030,M,M,"$20,000.00 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,"Los Angeles, California",26,Yes,1575
24140,S,M,"$10,000.00 ",0,Graduate Degree,Manual,No,0,0-1 Miles,"New York City, New York",30,Yes,1816
22496,M,F,"$30,000.00 ",1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,"New York City, New York",42,No,4771
24065,S,F,"$20,000.00 ",0,High School,Manual,Yes,0,0-1 Miles,"New York City, New York",40,Yes,4304
19914,M,M,"$80,000.00 ",5,Bachelors,Management,Yes,2,2-5 Miles,"New York City, New York",62,No,4141
12871,S,F,"$30,000.00 ",0,Partial College,Clerical,No,1,2-5 Miles,"New York City, New York",29,No,3432
22988,M,F,"$40,000.00 ",2,Bachelors,Management,Yes,2,5-10 Miles,"Los Angeles, California",66,Yes,1674
15922,M,M,"$150,000.00 ",2,High School,Professional,Yes,4,0-1 Miles,"New York City, New York",48,No,4228
12344,S,F,"$80,000.00 ",0,Bachelors,Professional,No,3,10+ Miles,"Los Angeles, California",31,No,1340
23627,S,F,"$100,000.00 ",3,Partial College,Management,No,4,5-10 Miles,"New York City, New York",56,No,1840
27775,S,F,"$40,000.00 ",0,Bachelors,Clerical,No,0,0-1 Miles,"New York City, New York",38,Yes,4866
29301,M,M,"$80,000.00 ",5,Bachelors,Professional,Yes,4,1-2 Miles,"Los Angeles, California",40,No,2328
12716,S,M,"$30,000.00 ",0,Partial College,Clerical,Yes,1,2-5 Miles,"New York City, New York",32,No,2727
12472,M,M,"$30,000.00 ",1,Bachelors,Clerical,Yes,1,2-5 Miles,"New York City, New York",39,No,2703
20970,S,M,"$10,000.00 ",2,Partial College,Manual,Yes,1,0-1 Miles,"New York City, New York",52,Yes,1956
26818,S,M,"$10,000.00 ",3,High School,Manual,Yes,1,0-1 Miles,"New York City, New York",39,Yes,4334
12993,M,M,"$60,000.00 ",2,Bachelors,Professional,Yes,1,2-5 Miles,"Los Angeles, California",37,No,4299
14192,M,M,"$90,000.00 ",4,High School,Management,Yes,3,5-10 Miles,"New York City, New York",56,Yes,2246
19477,M,M,"$40,000.00 ",0,Bachelors,Professional,Yes,0,0-1 Miles,"New York City, New York",40,Yes,4141
26796,S,M,"$40,000.00 ",2,Bachelors,Management,Yes,2,5-10 Miles,"Los Angeles, California",65,Yes,1060
21094,S,F,"$30,000.00 ",2,Partial College,Clerical,Yes,2,0-1 Miles,"New York City, New York",42,No,4742
12234,M,M,"$10,000.00 ",2,Partial College,Manual,Yes,1,2-5 Miles,"New York City, New York",52,No,4265
28683,S,F,"$10,000.00 ",1,High School,Manual,No,1,5-10 Miles,"New York City, New York",35,Yes,2936
17994,S,M,"$20,000.00 ",2,High School,Manual,Yes,2,0-1 Miles,"New York City, New York",42,No,1298
24273,M,F,"$20,000.00 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,"Los Angeles, California",55,Yes,1873
26547,S,F,"$30,000.00 ",2,Partial College,Clerical,No,2,5-10 Miles,"Los Angeles, California",60,Yes,1845
22500,S,M,"$40,000.00 ",0,Bachelors,Professional,No,0,0-1 Miles,"New York City, New York",40,Yes,1644
23993,S,F,"$10,000.00 ",0,Partial College,Manual,No,1,0-1 Miles,"Los Angeles, California",26,Yes,4794
14832,M,M,"$40,000.00 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,"New York City, New York",42,Yes,3798
16614,M,F,"$80,000.00 ",0,Bachelors,Professional,Yes,3,10+ Miles,"Los Angeles, California",32,No,1144
20877,S,M,"$30,000.00 ",1,Bachelors,Clerical,Yes,0,1-2 Miles,"New York City, New York",37,Yes,4661
20729,M,F,"$40,000.00 ",2,Partial College,Clerical,No,1,0-1 Miles,"New York City, New York",34,No,2796
22464,M,M,"$40,000.00 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",37,Yes,1994
19475,M,F,"$40,000.00 ",0,Bachelors,Professional,No,0,0-1 Miles,"New York City, New York",40,Yes,1252
19675,M,M,"$20,000.00 ",4,High School,Skilled Manual,Yes,2,5-10 Miles,"Los Angeles, California",60,No,1913
12728,S,M,"$30,000.00 ",0,Partial College,Clerical,No,1,1-2 Miles,"New York City, New York",27,No,2941
26154,M,M,"$60,000.00 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,"Los Angeles, California",43,Yes,4834
29117,S,M,"$100,000.00 ",1,Bachelors,Management,No,3,0-1 Miles,"Los Angeles, California",48,No,2340
17845,S,F,"$20,000.00 ",0,Partial High School,Manual,No,2,1-2 Miles,"New York City, New York",32,No,1884
25058,M,M,"$100,000.00 ",1,Bachelors,Management,Yes,3,2-5 Miles,"Los Angeles, California",47,No,1601
23426,S,M,"$80,000.00 ",5,Graduate Degree,Management,Yes,3,0-1 Miles,"Los Angeles, California",40,No,3433
14798,S,F,"$10,000.00 ",4,Partial High School,Manual,Yes,2,0-1 Miles,"New York City, New York",41,Yes,3960
12664,M,F,"$130,000.00 ",5,Partial College,Professional,Yes,4,0-1 Miles,"New York City, New York",59,No,4429
23979,S,M,"$10,000.00 ",2,Partial College,Manual,No,0,0-1 Miles,"New York City, New York",50,No,1506
25605,S,F,"$20,000.00 ",2,Partial College,Manual,No,1,0-1 Miles,"New York City, New York",54,Yes,1831
20797,M,F,"$10,000.00 ",1,Bachelors,Manual,Yes,0,0-1 Miles,"New York City, New York",48,No,4321
21980,S,F,"$60,000.00 ",1,Bachelors,Professional,Yes,1,5-10 Miles,"Los Angeles, California",44,Yes,2305
25460,M,F,"$20,000.00 ",2,High School,Manual,Yes,0,0-1 Miles,"New York City, New York",40,Yes,3833
29181,S,F,"$60,000.00 ",2,Bachelors,Professional,No,1,0-1 Miles,"Los Angeles, California",38,Yes,1635
24279,S,M,"$40,000.00 ",2,Partial College,Skilled Manual,No,2,1-2 Miles,"Los Angeles, California",52,No,1954
22402,M,M,"$10,000.00 ",0,Partial College,Manual,Yes,1,2-5 Miles,"Los Angeles, California",25,Yes,4912
15465,M,F,"$10,000.00 ",0,Partial College,Manual,No,1,0-1 Miles,"Los Angeles, California",25,No,2196
26757,S,M,"$90,000.00 ",1,Bachelors,Professional,Yes,1,2-5 Miles,"Los Angeles, California",47,Yes,2621
14233,S,M,"$100,000.00 ",0,High School,Management,Yes,3,10+ Miles,"Los Angeles, California",35,No,4043
14058,S,M,"$70,000.00 ",0,Bachelors,Professional,No,1,5-10 Miles,"Los Angeles, California",41,Yes,4026
12273,M,M,"$30,000.00 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",47,No,2089
17203,M,F,"$130,000.00 ",4,Partial College,Professional,Yes,4,5-10 Miles,"New York City, New York",61,Yes,2710
18144,M,F,"$80,000.00 ",5,Bachelors,Management,Yes,2,2-5 Miles,"New York City, New York",61,No,2237
23963,M,M,"$10,000.00 ",0,Partial High School,Manual,No,2,0-1 Miles,"New York City, New York",33,No,3657
17907,M,F,"$10,000.00 ",0,Partial College,Manual,Yes,1,2-5 Miles,"Los Angeles, California",27,No,2513
19442,S,M,"$50,000.00 ",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,"New York City, New York",37,Yes,2918
17504,S,F,"$80,000.00 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,"Los Angeles, California",52,Yes,2658
12253,S,F,"$20,000.00 ",0,Partial College,Manual,Yes,0,0-1 Miles,"Los Angeles, California",29,Yes,3843
27304,S,F,"$110,000.00 ",2,Partial College,Professional,No,3,5-10 Miles,"New York City, New York",48,No,2606
14191,M,M,"$160,000.00 ",4,Partial College,Professional,No,2,10+ Miles,"New York City, New York",55,Yes,2338
12212,M,F,"$10,000.00 ",0,Graduate Degree,Manual,Yes,0,0-1 Miles,"New York City, New York",37,Yes,3209
25529,S,M,"$10,000.00 ",1,Graduate Degree,Manual,Yes,0,0-1 Miles,"New York City, New York",44,No,3281
22170,M,F,"$30,000.00 ",3,Partial College,Clerical,No,2,1-2 Miles,"Los Angeles, California",55,Yes,4852
19445,M,F,"$10,000.00 ",2,High School,Manual,No,1,0-1 Miles,"New York City, New York",38,No,4107
15265,S,M,"$40,000.00 ",2,Bachelors,Management,Yes,2,5-10 Miles,"Los Angeles, California",66,Yes,4669
28918,M,F,"$130,000.00 ",4,High School,Management,No,4,10+ Miles,"New York City, New York",58,No,4241
15799,M,F,"$90,000.00 ",1,Bachelors,Professional,Yes,1,2-5 Miles,"Los Angeles, California",47,Yes,4953
11047,M,F,"$30,000.00 ",3,High School,Skilled Manual,No,2,1-2 Miles,"Los Angeles, California",56,Yes,1128
18151,S,M,"$80,000.00 ",5,Partial College,Professional,No,2,10+ Miles,"New York City, New York",59,No,1774
20606,M,F,"$70,000.00 ",0,Bachelors,Professional,Yes,4,10+ Miles,"Los Angeles, California",32,Yes,1778
19482,M,M,"$30,000.00 ",1,Partial College,Clerical,Yes,1,0-1 Miles,"New York City, New York",44,Yes,4454
16489,M,M,"$30,000.00 ",3,High School,Skilled Manual,Yes,2,5-10 Miles,"Los Angeles, California",55,No,1344
26944,S,M,"$90,000.00 ",2,High School,Manual,Yes,0,0-1 Miles,"New York City, New York",36,Yes,2894
15682,S,F,"$80,000.00 ",5,Bachelors,Management,Yes,2,10+ Miles,"New York City, New York",62,No,1214
26032,M,F,"$70,000.00 ",5,Bachelors,Professional,Yes,4,10+ Miles,"Los Angeles, California",41,No,2292
17843,S,F,"$10,000.00 ",0,Partial High School,Manual,No,2,0-1 Miles,"New York City, New York",32,No,1988
25559,S,M,"$20,000.00 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,"Los Angeles, California",25,Yes,1537
16209,S,F,"$50,000.00 ",0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,"New York City, New York",36,No,1778
11147,M,M,"$60,000.00 ",2,Graduate Degree,Management,Yes,1,0-1 Miles,"Los Angeles, California",67,Yes,1805
15214,S,F,"$100,000.00 ",0,Graduate Degree,Management,No,1,1-2 Miles,"Los Angeles, California",39,Yes,2995
11453,S,M,"$80,000.00 ",0,Bachelors,Professional,No,3,10+ Miles,"Los Angeles, California",33,Yes,2414
24584,S,M,"$60,000.00 ",0,Bachelors,Professional,No,3,2-5 Miles,"Los Angeles, California",31,No,3733
12585,M,M,"$10,000.00 ",1,High School,Manual,Yes,0,2-5 Miles,"Los Angeles, California",27,Yes,3909
18626,S,M,"$40,000.00 ",2,Partial College,Clerical,Yes,0,1-2 Miles,"New York City, New York",33,Yes,2893
29298,S,F,"$60,000.00 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,"Los Angeles, California",46,Yes,2157
24842,S,F,"$90,000.00 ",3,High School,Professional,No,1,2-5 Miles,"New York City, New York",51,No,1824
15657,M,M,"$30,000.00 ",3,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",46,Yes,2057
11415,S,M,"$90,000.00 ",5,Partial College,Professional,No,2,10+ Miles,"New York City, New York",62,No,1675
28729,S,F,"$20,000.00 ",0,Partial High School,Manual,Yes,2,1-2 Miles,"New York City, New York",26,Yes,1853
22633,S,F,"$40,000.00 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",37,Yes,4065
25649,S,F,"$30,000.00 ",3,Partial College,Clerical,Yes,0,0-1 Miles,"New York City, New York",42,Yes,4596
14669,M,F,"$80,000.00 ",4,Graduate Degree,Management,Yes,1,0-1 Miles,"Los Angeles, California",36,No,4214
19299,M,F,"$50,000.00 ",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,"New York City, New York",36,Yes,4700
20946,S,F,"$30,000.00 ",0,Partial College,Clerical,No,1,2-5 Miles,"New York City, New York",30,No,2061
11451,S,M,"$70,000.00 ",0,Bachelors,Professional,No,4,10+ Miles,"Los Angeles, California",31,Yes,3220
25553,M,M,"$30,000.00 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",65,Yes,3272
27951,S,M,"$80,000.00 ",4,Partial College,Professional,No,2,2-5 Miles,"New York City, New York",54,Yes,4042
25026,M,M,"$20,000.00 ",2,Partial High School,Clerical,Yes,3,5-10 Miles,"Los Angeles, California",54,No,2830
13673,S,F,"$20,000.00 ",0,Partial High School,Manual,No,2,0-1 Miles,"New York City, New York",25,No,4620
16043,S,M,"$10,000.00 ",1,Bachelors,Manual,Yes,0,0-1 Miles,"New York City, New York",48,No,2696
22399,S,M,"$10,000.00 ",0,Partial College,Manual,Yes,1,1-2 Miles,"Los Angeles, California",26,Yes,4478
27696,M,M,"$60,000.00 ",1,Bachelors,Professional,Yes,1,5-10 Miles,"Los Angeles, California",43,Yes,4023
25313,S,M,"$10,000.00 ",0,Partial High School,Manual,No,2,1-2 Miles,"New York City, New York",35,No,4456
13813,M,F,"$30,000.00 ",3,Partial College,Clerical,No,0,0-1 Miles,"New York City, New York",42,No,1832
18711,S,F,"$70,000.00 ",5,Bachelors,Professional,Yes,4,10+ Miles,"Los Angeles, California",39,No,3328
19650,M,F,"$30,000.00 ",2,Partial College,Clerical,No,2,0-1 Miles,"Los Angeles, California",67,No,3225
14135,M,M,"$20,000.00 ",1,Partial College,Manual,Yes,0,1-2 Miles,"New York City, New York",35,No,4773
12833,S,F,"$20,000.00 ",3,High School,Manual,Yes,1,0-1 Miles,"New York City, New York",42,Yes,3517
26849,M,M,"$10,000.00 ",3,Partial High School,Manual,Yes,2,0-1 Miles,"New York City, New York",43,No,2665
20962,M,F,"$20,000.00 ",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",45,No,3892
28915,S,M,"$80,000.00 ",5,High School,Management,Yes,3,10+ Miles,"New York City, New York",57,No,1866
22830,M,M,"$120,000.00 ",4,Partial College,Management,Yes,3,10+ Miles,"New York City, New York",56,No,1010
14777,M,F,"$40,000.00 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",38,Yes,4066
12591,M,F,"$30,000.00 ",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",45,No,1882
24174,M,M,"$20,000.00 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,"Los Angeles, California",27,Yes,3160
24611,S,M,"$90,000.00 ",0,Bachelors,Professional,No,4,10+ Miles,"Los Angeles, California",35,Yes,2344
