Date,Region,Salesperson,Product,Cost,Units Sold,Unit Price
12/01/2025 00:00,West,Musa,Laptop,2500,18,80000
04/02/2025 00:00,West,Efe,Mouse,2500,19,350000
05/03/2025 00:00,North,Ada,Keyboard,2500,3,120000
30/03/2025 00:00,North,Musa,Laptop,2500,16,120000
12/05/2025 00:00,South,Bola,Monitor,2500,12,120000
04/01/2025 00:00,East,Ada,Mouse,3000,3,15000
22/01/2025 00:00,West,Efe,Mouse,3000,16,5000
27/02/2025 00:00,West,Chidi,Laptop,3000,17,120000
29/03/2025 00:00,West,Efe,Mouse,3000,19,80000
09/05/2025 00:00,North,Ada,Mouse,3000,14,5000
09/01/2025 00:00,North,Efe,Keyboard,4000,16,80000
14/01/2025 00:00,North,Musa,Laptop,4000,19,120000
02/02/2025 00:00,South,Chidi,Mouse,4000,3,5000
06/02/2025 00:00,West,Bola,Monitor,4000,16,120000
04/03/2025 00:00,North,Grace,Mouse,4000,14,350000
12/03/2025 00:00,West,Efe,Headset,4000,16,5000
30/03/2025 00:00,South,Ada,Laptop,4000,14,10000
02/04/2025 00:00,West,Ada,Keyboard,4000,7,10000
11/05/2025 00:00,South,Bola,Keyboard,4000,13,120000
14/05/2025 00:00,North,Chidi,Printer,4000,19,10000
31/05/2025 00:00,South,Chidi,Monitor,4000,12,5000
12/06/2025 00:00,West,Ada,Printer,4000,17,80000
24/06/2025 00:00,East,Efe,Mouse,4000,5,10000
02/01/2025 00:00,South,Chidi,Printer,21000,8,350000
21/01/2025 00:00,West,Musa,Keyboard,21000,4,120000
24/02/2025 00:00,West,Efe,Monitor,21000,2,350000
25/03/2025 00:00,West,Efe,Monitor,21000,11,5000
04/05/2025 00:00,East,Musa,Monitor,21000,1,5000
